id,section_rapport,page_ou_ligne,chiffre_cite,type,fichier_source_attendu,valeur_recalculee,match,tolerance,note,verifie_2x
C01,2.5 Paramètres,rapport.tex,10.4506,prix_BS,_audit/numbers.tex \bsPrice,10.4506,Y,0.0001,arrondi 4 décimales auto-genere,Y
C02,2.5 Paramètres,rapport.tex,0.6368,delta_BS,_audit/numbers.tex \bsDelta,0.6368,Y,0.0001,arrondi 4 décimales auto-genere,Y
C03,2.5 Paramètres,rapport.tex,0.0188,gamma_BS,_audit/numbers.tex \bsGamma,0.0188,Y,0.0001,arrondi 4 décimales auto-genere,Y
C04,2.5 Paramètres,rapport.tex,37.52,vega_BS,_audit/numbers.tex \bsVega,37.52,Y,0.01,arrondi 2 décimales auto-genere,Y
C05,6.1 Delta - tableau,rapport.tex (table Delta),0.6378,delta_FD_estim,_audit/numbers.tex \deltaFdEst,0.6378,Y,0.0001,POST-REGEN: rapport.tex utilise \deltaFdEst (auto-genere notebook cell 7),Y
C06,6.1 Delta - tableau,rapport.tex (table Delta),0.0006,SE_FD_delta,_audit/numbers.tex \deltaFdSe,0.0006,Y,0.0001,POST-REGEN: convention SE=IC/1.96 (notebook IC bootstrap=0.001160),Y
C07,6.1 Delta - tableau,rapport.tex (table Delta),0.6379,delta_PW_estim,_audit/numbers.tex \deltaPwEst,0.6379,Y,0.0001,POST-REGEN: \deltaPwEst,Y
C08,6.1 Delta - tableau,rapport.tex (table Delta),0.0006,SE_PW_delta,_audit/numbers.tex \deltaPwSe,0.0006,Y,0.0001,POST-REGEN: SE=0.001265/1.96=6.45e-4,Y
C09,6.1 Delta - tableau,rapport.tex (table Delta),0.6404,delta_MAL_estim,_audit/numbers.tex \deltaMalEst,0.6404,Y,0.0001,POST-REGEN: \deltaMalEst,Y
C10,6.1 Delta - tableau,rapport.tex (table Delta),0.0042,SE_MAL_delta,_audit/numbers.tex \deltaMalSe,0.0042,Y,0.0001,POST-REGEN: SE=0.008278/1.96=4.22e-3,Y
C11,6.1 Delta - texte,rapport.tex (analyse Delta),6.5,ratio_SE_MAL_vs_PW,_audit/numbers.tex \deltaRatioMalPw,6.5,Y,0.1,POST-REGEN: ratio SE_MAL/SE_PW=4.22e-3/6.45e-4=6.5x (rapport variance 43x),Y
C12,6.2 Gamma - tableau,rapport.tex (table Gamma),0.01828,gamma_FD_estim,_audit/numbers.tex \gammaFdEst,0.01828,Y,0.00001,POST-REGEN: \gammaFdEst (notebook cell 10),Y
C13,6.2 Gamma - tableau,rapport.tex (table Gamma),0.00034,SE_FD_gamma,_audit/numbers.tex \gammaFdSe,0.00034,Y,0.00001,POST-REGEN: SE=0.000660/1.96=3.37e-4,Y
C14,6.2 Gamma - tableau,rapport.tex (table Gamma),0.01923,gamma_MAL_estim,_audit/numbers.tex \gammaMalEst,0.01923,Y,0.00001,POST-REGEN: \gammaMalEst,Y
C15,6.2 Gamma - tableau,rapport.tex (table Gamma),0.00045,SE_MAL_gamma,_audit/numbers.tex \gammaMalSe,0.00045,Y,0.00001,POST-REGEN: SE=0.000879/1.96=4.48e-4,Y
C16,6.3 Vega - tableau,rapport.tex (table Vega),37.61,vega_FD_estim,_audit/numbers.tex \vegaFdEst,37.61,Y,0.01,POST-REGEN: \vegaFdEst (notebook cell 13),Y
C17,6.3 Vega - tableau,rapport.tex (table Vega),37.61,vega_PW_estim,_audit/numbers.tex \vegaPwEst,37.61,Y,0.01,POST-REGEN: \vegaPwEst,Y
C18,6.3 Vega - tableau,rapport.tex (table Vega),38.45,vega_MAL_estim,_audit/numbers.tex \vegaMalEst,38.45,Y,0.01,POST-REGEN: \vegaMalEst (3.5%% écart vs BS notebook-mesuré),Y
C19,6.3 Vega - tableau,rapport.tex (table Vega),0.90,SE_MAL_vega,_audit/numbers.tex \vegaMalSe,0.90,Y,0.01,POST-REGEN: SE=1.757307/1.96=0.897,Y
C20,Synthèse - table,rapport.tex (synthese),43,variance_relative_MAL,_audit/numbers.tex \varRatioMalPw,43,Y,1.0,POST-REGEN: ratio_variance=(SE_MAL/SE_PW)^2=43 (rapport ratio écart-type=6.5x),Y
C21,7 Euler - table,rapport.tex (Euler convergence),0.0033,erreur_delta_n10,_audit/numbers.tex \eulerErrTen,0.0033,Y,0.0001,POST-REGEN: \eulerErrTen (notebook cell 17),Y
C22,7 Euler - table,rapport.tex (Euler convergence),0.0002,erreur_delta_n50,_audit/numbers.tex \eulerErrFifty,0.0002,Y,0.0001,POST-REGEN: \eulerErrFifty,Y
C23,7 Euler - table,rapport.tex (Euler convergence),0.0001,erreur_delta_n100,_audit/numbers.tex \eulerErrHundred,0.0001,Y,0.0001,POST-REGEN: \eulerErrHundred,Y
C24,7 Euler - table,rapport.tex (Euler convergence),0.0006,erreur_delta_n500,_audit/numbers.tex \eulerErrFiveHundred,0.0006,Y,0.0001,POST-REGEN: table modifiée n=500 (au lieu de n=200 erroné) — \eulerErrFiveHundred,Y
C25,8 EDP - table,rapport.tex (table EDP),10.4491,prix_EDP,_audit/numbers.tex \pdePrice,10.4491,Y,0.0001,\pdePrice (auto-genere notebook cell 31),Y
C26,8 EDP - table,rapport.tex (table EDP),0.6175,delta_EDP,_audit/numbers.tex \pdeDelta,0.6175,Y,0.0001,\pdeDelta,Y
C27,8 EDP - table,rapport.tex (table EDP),0.0193,gamma_EDP,_audit/numbers.tex \pdeGamma,0.0193,Y,0.0001,\pdeGamma,Y
C28,8 EDP - table,rapport.tex (table EDP),37.47,vega_EDP,_audit/numbers.tex \pdeVega,37.47,Y,0.01,\pdeVega,Y
C29,8 EDP - table,rapport.tex (table EDP),0.0014,erreur_abs_prix_EDP,_audit/numbers.tex \pdeErrPrice,0.0014,Y,0.0001,\pdeErrPrice,Y
C30,8 EDP - table,rapport.tex (table EDP),0.0193,erreur_abs_delta_EDP,_audit/numbers.tex \pdeErrDelta,0.0193,Y,0.0001,\pdeErrDelta,Y
C31,8 EDP - table,rapport.tex (table EDP),0.0005,erreur_abs_gamma_EDP,_audit/numbers.tex \pdeErrGamma,0.0005,Y,0.0001,\pdeErrGamma,Y
C32,8 EDP - table,rapport.tex (table EDP),0.06,erreur_abs_vega_EDP,_audit/numbers.tex \pdeErrVega,0.06,Y,0.01,\pdeErrVega,Y
